Id,Label,Grado,Clustering Coefficient,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree
67,Star Wars Episode V: The Empire Strikes Back,45,0.19797979797979798,6.0,2.751418256833419,7361.07209425116,208,45.0
68,Pulp Fiction,93,0.14329125759700795,7.0,2.5652398143372874,11767.110414547173,290,93.0
69,Star Wars Episode III: Revenge of the Sith,50,0.27183673469387754,7.0,2.7519339865910264,3243.425361615693,290,50.0
70,Miller's Crossing,40,0.21666666666666667,7.0,2.8231046931407944,2267.3153147502617,194,40.0
71,Sleepy Hollow,63,0.14183307731694828,7.0,2.7091284167096443,6702.55068111213,194,63.0
72,Casablanca,25,0.20666666666666667,7.0,3.186694172253739,7476.165934226083,89,25.0
73,Tora! Tora! Tora!,20,0.15789473684210525,6.0,2.924703455389376,3931.4762345932645,89,20.0
74,The Manchurian Candidate,17,0.16176470588235295,6.0,3.1743166580711706,2542.158960769463,89,17.0
75,Wall Street,58,0.12885662431941924,6.0,2.6988138215575037,8360.6132872689,264,58.0
76,The Good Earth,5,0.1,8.0,4.265085095410005,2049.725484346091,89,5.0
77,It's a Wonderful Life,18,0.3464052287581699,7.0,3.3099535843218155,2577.744241601677,89,18.0
78,The Red Shoes,5,0.3,7.0,4.024755028365137,139.5102325290903,89,5.0
79,State Fair,7,0.09523809523809523,7.0,3.69778236204229,4453.702557270061,89,7.0
80,Wings,10,0.24444444444444444,7.0,3.928829293450232,3704.8131376947827,89,10.0
81,Seventh Heaven,2,1.0,8.0,4.696750902527076,0.0,89,2.0
82,Skippy,2,1.0,7.0,3.6472408457968024,0.0,275,2.0
83,Trader Horn,0,0.0,0.0,0.0,0.0,11,0.0
84,Shanghai Express,4,0.3333333333333333,8.0,4.5116039195461575,2727.75615326829,89,4.0
85,Smilin' Through,13,0.21794871794871795,7.0,3.659102630221764,1215.9657895159562,89,13.0
86,Cleopatra,0,0.0,0.0,0.0,0.0,12,0.0
87,The Thin Man,5,0.3,8.0,4.434760185662713,5890.190391498503,89,5.0
88,Viva Villa!,8,0.39285714285714285,8.0,4.108303249097473,287.45566173281554,89,8.0
89,The Patriot,40,0.19230769230769232,7.0,2.9092315626611653,3182.6748052956364,246,40.0
90,The Big House,7,0.5238095238095238,8.0,4.295513151108819,83.54318762325823,89,7.0
91,Disraeli,2,0.0,7.0,4.234141309953585,9.407886043423183,89,2.0
92,Captain Blood,8,0.5,7.0,4.150593089221248,259.92270917045073,89,8.0
93,The Informer,7,0.47619047619047616,8.0,4.214543579164518,286.9581320659662,89,7.0
94,Les Misérables,14,0.34065934065934067,6.0,3.357400722021661,3165.4715691616193,89,14.0
95,"Personal History, Adventures, Experience, and Observation of David Copperfield the Younger",13,0.21794871794871795,8.0,3.9375966993295513,2705.4485455835843,89,13.0
96,Top Hat,7,0.14285714285714285,7.0,3.9953584321815367,368.77452285360533,89,7.0
97,A Tale of Two Cities,7,0.38095238095238093,8.0,4.299123259412068,429.51666343136037,89,7.0
98,Lost Horizon,7,0.3333333333333333,7.0,4.217122227952553,558.1791997491606,89,7.0
99,Sunrise,2,1.0,8.0,4.696750902527076,0.0,89,2.0
100,The Adventures of Robin Hood,16,0.21666666666666667,7.0,3.6235172769468798,6613.419392824855,89,16.0
101,Alexander's Ragtime Band,13,0.20512820512820512,7.0,3.370293965961836,3632.4787313346965,275,13.0
102,Grand Illusion,2,0.0,8.0,4.2052604435275915,11.467442755183628,89,2.0
103,Test Pilot,22,0.37662337662337664,7.0,3.4920061887570912,9639.680518394616,89,22.0
104,Of Mice and Men,13,0.41025641025641024,7.0,3.215059308922125,533.4550485958596,89,13.0
105,Stagecoach,28,0.2698412698412698,6.0,3.1031459515214026,4797.3360069212995,89,28.0
106,Alice in Wonderland,16,0.24166666666666667,7.0,3.506446621970088,6182.668946340528,89,16.0
107,Foreign Correspondent,10,0.13333333333333333,7.0,3.8024755028365136,752.9966118309109,89,10.0
108,Day of the Dead,0,0.0,0.0,0.0,0.0,13,0.0
109,Apt Pupil,17,0.39705882352941174,7.0,3.0959257349149047,444.45722006853896,563,17.0
110,Lenny,13,0.8461538461538461,7.0,3.1366683857658586,63.328220392234435,200,13.0
111,A Knight's Tale,21,0.13333333333333333,7.0,3.0587931923671996,1880.0441274697157,194,21.0
112,Schindler's List,31,0.23870967741935484,6.0,2.8968540484785974,1743.8750118706432,200,31.0
113,Rigoletto,1,0.0,1.0,1.0,0.0,14,1.0
114,Maryam,0,0.0,0.0,0.0,0.0,15,0.0
115,M,9,0.5,7.0,3.710159876224858,9670.0,89,9.0
116,Clue,22,0.22077922077922077,7.0,2.9731820526044355,1356.5986895173132,220,22.0
117,Above the Law,14,0.17582417582417584,7.0,3.1743166580711706,642.7425931468351,9,14.0
118,Under Siege 2: Dark Territory,8,0.14285714285714285,7.0,3.361526560082517,318.2314888801448,563,8.0
119,Ticker,19,0.3157894736842105,7.0,3.0226921093347086,1001.5578399001347,9,19.0
120,Strategic Air Command,15,0.38095238095238093,7.0,3.301701908200103,1222.8808977391973,89,15.0
121,The Caine Mutiny,22,0.20346320346320346,6.0,2.9510056730273337,4914.72503462738,89,22.0
122,Adam's Rib,15,0.6857142857142857,7.0,3.550283651366684,677.1007621232507,89,15.0
123,Chinatown,27,0.3561253561253561,7.0,2.9061371841155235,2318.9915115281756,264,27.0
124,Badlands,18,0.45098039215686275,7.0,3.0562145435791646,612.9943699236476,194,18.0
125,The Jazz Singer,1,0.0,1.0,1.0,0.0,16,1.0
126,Bonnie and Clyde,23,0.4426877470355731,7.0,2.9886539453326457,720.6842217998792,275,23.0
127,The General,12,0.45454545454545453,7.0,3.598762248581743,1083.8755243724804,89,12.0
128,Jurassic Park,52,0.21342383107088989,6.0,2.70293965961836,6726.129395024793,290,52.0
129,McCabe & Mrs. Miller,13,0.4358974358974359,7.0,3.117586384734399,309.24478871537514,200,13.0
130,"I, the Jury",3,0.0,7.0,4.368746776689015,129.75943577776096,89,3.0
131,Guess Who's Coming to Dinner,19,0.4327485380116959,7.0,3.252707581227437,5008.242269432283,89,19.0
132,Dune,77,0.09330143540669857,6.0,2.5832903558535327,21440.284839123477,3,77.0
133,Signs,20,0.45789473684210524,7.0,3.0562145435791646,408.9766594025251,246,20.0
134,Aladdin,38,0.26600284495021337,6.0,2.8334192882929345,3559.6112110378813,246,38.0
135,The Cheat,1,0.0,7.0,4.219185146982981,0.0,208,1.0
136,Sullivan's Travels,7,0.19047619047619047,7.0,3.548220732336256,890.5780442965255,89,7.0
137,Civilization,0,0.0,0.0,0.0,0.0,17,0.0
138,Cologne: From the Diary of Ray and Esther,0,0.0,0.0,0.0,0.0,18,0.0
139,Cops,6,1.0,7.0,3.76689014956163,0.0,89,6.0
140,David Holzman's Diary,0,0.0,0.0,0.0,0.0,19,0.0
141,Detour,0,0.0,0.0,0.0,0.0,20,0.0
142,Double Indemnity,9,0.3333333333333333,7.0,3.397627643115008,2018.8013648702067,89,9.0
143,E.T. the Extra-Terrestrial,17,0.27205882352941174,7.0,3.155234657039711,1243.0777886183785,220,17.0
144,Easy Rider,27,0.3789173789173789,6.0,2.9164517792676636,2952.00055542219,264,27.0
145,Eaux d'artifice,0,0.0,0.0,0.0,0.0,21,0.0
146,El Norte,7,0.23809523809523808,7.0,3.406910778751934,117.33497543494353,563,7.0
147,The Fall of the House of Usher,0,0.0,0.0,0.0,0.0,22,0.0
148,Fantasia,1,0.0,9.0,5.449716348633316,0.0,246,1.0
149,Fatty's Tintype Tangle,0,0.0,0.0,0.0,0.0,23,0.0
150,Flash Gordon,4,0.16666666666666666,8.0,4.173800928313564,2035.3644797856136,89,4.0
151,Frankenstein,7,0.7619047619047619,7.0,3.8375451263537905,486.504995288685,89,7.0
152,Fury,24,0.3115942028985507,7.0,3.4641567818463126,3070.632681891358,89,24.0
153,Man Bites Dog,0,0.0,0.0,0.0,0.0,24,0.0
154,Six Degrees of Separation,36,0.2571428571428571,7.0,2.775657555440949,2202.4785038950076,200,36.0
155,The Cruise,1,0.0,1.0,1.0,0.0,25,1.0
156,Grass,0,0.0,0.0,0.0,0.0,26,0.0
