Source,Target,Type,Id,Label,Weight
5009464,10325943,Undirected,178,,1
5009464,7880211,Undirected,179,,1
5009464,3514251,Undirected,180,,1
5009464,868783,Undirected,181,,1
6037313,1229641,Undirected,182,,1
6037313,4439012,Undirected,183,,1
6037313,1731477,Undirected,184,,1
6037313,2474364,Undirected,185,,1
6037313,974357,Undirected,186,,1
1229641,4439012,Undirected,187,,1
1731477,2474364,Undirected,188,,1
1731477,974357,Undirected,189,,1
1731477,884335,Undirected,190,,1
1731477,2923617,Undirected,191,,1
1731477,3145169,Undirected,192,,1
2474364,974357,Undirected,193,,1
2474364,1124374,Undirected,194,,1
2474364,1167297,Undirected,195,,1
2474364,5554443,Undirected,196,,1
2474364,1685980,Undirected,197,,1
2474364,1233434,Undirected,198,,1
2474364,1517203,Undirected,199,,1
2474364,147005,Undirected,200,,1
8607466,106639,Undirected,201,,1
8607466,5644607,Undirected,202,,1
106639,5644607,Undirected,203,,1
6408990,4657642,Undirected,204,,1
6408990,6995653,Undirected,205,,1
4657642,6995653,Undirected,206,,1
3662533,1173818,Undirected,207,,1
3662533,2748816,Undirected,208,,1
1173818,2748816,Undirected,209,,1
1124374,1167297,Undirected,210,,1
1124374,5554443,Undirected,211,,1
1167297,5554443,Undirected,212,,1
1685980,1233434,Undirected,213,,1
1685980,1517203,Undirected,214,,1
1685980,147005,Undirected,215,,1
1233434,1517203,Undirected,216,,1
1233434,147005,Undirected,217,,1
1517203,147005,Undirected,218,,1
1517203,2923617,Undirected,219,,1
1517203,1625366,Undirected,220,,1
1517203,1402451,Undirected,221,,1
1517203,1515039,Undirected,222,,1
1517203,620302,Undirected,223,,1
1517203,6350126,Undirected,224,,1
1517203,4806496,Undirected,225,,1
1517203,2967539,Undirected,226,,1
1517203,187312,Undirected,227,,1
1517203,3300748,Undirected,228,,1
1517203,1768824,Undirected,229,,1
1517203,1541151,Undirected,230,,1
1517203,3298070,Undirected,231,,1
1517203,2038341,Undirected,232,,1
1517203,3952097,Undirected,233,,1
147005,1736560,Undirected,234,,1
147005,9425228,Undirected,235,,1
147005,3061018,Undirected,236,,1
147005,821443,Undirected,237,,1
147005,4011838,Undirected,238,,1
147005,3935345,Undirected,239,,1
147005,3559500,Undirected,240,,1
147005,1710581,Undirected,241,,1
147005,3670038,Undirected,242,,1
147005,488918,Undirected,243,,1
147005,3097820,Undirected,244,,1
147005,9821583,Undirected,245,,1
884335,2923617,Undirected,246,,1
884335,3145169,Undirected,247,,1
884335,1443785,Undirected,248,,1
884335,9408579,Undirected,249,,1
884335,4477089,Undirected,250,,1
884335,2451675,Undirected,251,,1
884335,620302,Undirected,252,,1
884335,2967539,Undirected,253,,1
884335,6181150,Undirected,254,,1
884335,296076,Undirected,255,,1
2923617,3145169,Undirected,256,,1
2923617,620302,Undirected,257,,1
