Source,Target,Type,Id,Label,Weight
7238024,7989885,Undirected,229,,1
7238024,8508795,Undirected,230,,1
7238024,3962805,Undirected,231,,1
7238024,7991713,Undirected,232,,1
7238024,7942147,Undirected,233,,1
7238024,9552650,Undirected,234,,1
7238024,8433987,Undirected,235,,1
4610793,675792,Undirected,236,,2
4610793,7446459,Undirected,237,,1
4610793,7989885,Undirected,238,,1
4610793,3858133,Undirected,239,,1
4610793,2530205,Undirected,240,,1
4610793,6816886,Undirected,241,,1
4610793,1063452,Undirected,242,,1
4610793,7315655,Undirected,243,,2
7143656,4423008,Undirected,244,,1
7143656,6919359,Undirected,245,,1
7143656,675792,Undirected,246,,1
6148342,7901413,Undirected,247,,1
6148342,8023812,Undirected,248,,1
6148342,7446459,Undirected,249,,1
6148342,7989885,Undirected,250,,1
6148342,8508795,Undirected,251,,1
6148342,3962805,Undirected,252,,1
6148342,7991713,Undirected,253,,1
6148342,7942147,Undirected,254,,1
6148342,9552650,Undirected,255,,1
6148342,8433987,Undirected,256,,1
4423008,6919359,Undirected,257,,1
4423008,675792,Undirected,258,,1
4423008,1063452,Undirected,259,,1
6919359,4450611,Undirected,260,,2
6919359,6686788,Undirected,261,,1
6919359,9552650,Undirected,262,,1
4450611,9552650,Undirected,263,,1
7901413,8023812,Undirected,264,,1
7901413,7446459,Undirected,265,,1
7901413,7989885,Undirected,266,,1
7901413,8508795,Undirected,267,,1
7901413,3962805,Undirected,268,,1
7901413,7991713,Undirected,269,,1
7901413,7942147,Undirected,270,,1
7901413,9552650,Undirected,271,,1
7901413,8433987,Undirected,272,,1
675792,7446459,Undirected,273,,1
675792,2530205,Undirected,274,,1
675792,6816886,Undirected,275,,1
675792,7070035,Undirected,276,,1
675792,1063452,Undirected,277,,2
675792,7315655,Undirected,278,,1
6173244,6686788,Undirected,279,,1
8023812,7446459,Undirected,280,,1
8023812,7989885,Undirected,281,,1
8023812,8508795,Undirected,282,,1
8023812,3962805,Undirected,283,,1
8023812,7991713,Undirected,284,,1
8023812,7942147,Undirected,285,,1
8023812,9552650,Undirected,286,,1
8023812,8433987,Undirected,287,,1
7446459,7989885,Undirected,288,,1
7446459,8508795,Undirected,289,,1
7446459,2530205,Undirected,290,,1
7446459,6816886,Undirected,291,,1
7446459,3962805,Undirected,292,,1
7446459,7991713,Undirected,293,,1
7446459,7942147,Undirected,294,,1
7446459,7315655,Undirected,295,,1
7446459,9552650,Undirected,296,,1
7446459,8433987,Undirected,297,,1
7989885,8508795,Undirected,298,,1
7989885,3858133,Undirected,299,,1
7989885,7070035,Undirected,300,,1
7989885,3962805,Undirected,301,,1
7989885,7991713,Undirected,302,,1
7989885,7942147,Undirected,303,,1
7989885,9552650,Undirected,304,,1
7989885,8433987,Undirected,305,,1
8508795,3962805,Undirected,306,,1
8508795,7991713,Undirected,307,,1
8508795,7942147,Undirected,308,,1
8508795,9552650,Undirected,309,,1
8508795,8433987,Undirected,310,,2
7446430,2530205,Undirected,311,,1
2530205,6816886,Undirected,312,,1
2530205,7315655,Undirected,313,,1
6816886,7315655,Undirected,314,,1
7070035,8405258,Undirected,315,,1
3962805,7991713,Undirected,316,,1
3962805,7942147,Undirected,317,,1
3962805,9552650,Undirected,318,,2
3962805,8433987,Undirected,319,,1
7991713,7942147,Undirected,320,,1
7991713,9552650,Undirected,321,,1
7991713,8433987,Undirected,322,,1
7942147,9552650,Undirected,323,,1
7942147,8433987,Undirected,324,,1
1063452,6686788,Undirected,325,,1
9552650,8433987,Undirected,326,,1
