Id,Label
307,Peter O'Toole
308,Zia Mohyeddin
309,Claude Rains
310,Omar Sharif
311,Alec Guinness
312,Henry Oscar
313,José Ferrer
314,William Fichtner
315,Robert De Niro
316,Val Kilmer
317,Amy Brenneman
318,Diane Venora
319,Kevin Gage
320,Tom Noonan
321,Hank Azaria
322,Henry Rollins
323,Al Pacino
324,Ashley Judd
325,Danny Trejo
326,Dennis Haysbert
327,Wes Studi
328,Tom Sizemore
329,Ted Levine
330,Jon Voight
331,Mykelti Williamson
332,Allison Janney
333,Wes Bentley
334,Chris Cooper
335,Sam Robards
336,Kevin Spacey
337,Mena Suvari
338,Thora Birch
339,Annette Bening
340,Peter Gallagher
341,Barry Del Sherman
342,Clark Gable
343,Jeanette MacDonald
344,Spencer Tracy
345,Heather Kafka
346,Karey Green
347,Sally Field
348,Margaret Hoard
349,Dan Eggleston
350,Stockard Channing
351,Katelin Petersen
352,J.D. Evermore
353,Mark Voges
354,James Frain
355,David Alvarado
356,Joan Cusack
357,Cheyenne Rushing
358,Bob Coonrod
359,K. Todd Lytle
360,Alicia Godwin
361,Deborah Abbott
362,Jason C. Young
363,Natalie Pena
364,Jeff Cooper
365,Jeremy Denzlinger
366,Jim Beaver
367,Laura Auldridge
368,Mark G. Mathis
369,Gabriel Folse
370,Stacy Bellew
371,Todd Lowe
372,Angee Hughes
373,Chris Warner
374,Rodger Boyce
375,Linda Wakeman
376,Susan Hegarty
377,Kinna McInroe
378,Yvette Diaz
379,Ray Prewitt
380,Adrian Garza
381,Russell Towery
382,Dylan Bruno
383,Laura House
384,John Swasey
385,Jim Henry
386,Richard T. Jones
387,Alecia Batson
388,Rebecca Davis
389,Richard Nance
390,Thalia Harithas
391,Tony Mann
392,Mackenzie Fitzgerald
393,Kylie Harmon
394,Mary Ashleigh Green
395,TJ McFarland
396,Scarlett McAlister
397,Angelina Fiordellisi
398,Cody Linley
399,Dennis Letts
400,Kathryn Esquivel
401,Cassandra L. Small
402,Gérard Depardieu
403,Andie MacDowell
404,Wallace Beery
405,Lewis Stone
406,Jean Hersholt
407,Joan Crawford
408,John Barrymore
409,Lionel Barrymore
410,Greta Garbo
411,Leonard Marx
412,Margaret Dumont
413,Harpo Marx
414,Zeppo Marx
415,Lillian Roth
416,Groucho Marx
417,Milos Milos
418,Kareem Abdul-Jabbar
419,Leslie Nielsen
420,Robert Stack
421,Ethel Merman
422,Robert Hays
423,Barbara Billingsley
424,Peter Graves
425,Stephen Stucker
426,Lloyd Bridges
427,Lorna Patterson
428,Julie Hagerty
429,Howard Jarvis
430,Brigitte Helm
431,Erwin Biswanger
432,Theodor Loos
433,Gustav Fröhlich
434,Alfred Abel
435,Heinrich George
436,Fritz Rasp
437,Cath
438,Rudolf Klein-Rogge
439,Alfred Abel
440,Daniel Craig
441,Noah Taylor
442,Rachel Grant
443,Iain Glen
444,Hugh Jackman
445,Famke Janssen
446,Anna Paquin
447,Daryl Karolat
448,Rebecca Romijn
449,Halle Berry
450,Ian McKellen
451,Bruce Davison
452,Ray Park
453,Sumela Kay
454,James Marsden
455,John Bonham
456,Robert Plant
457,John Baldwin
458,Jimmy Page
459,Kevin Kline
460,Timothy Hutton
461,Susan Anbeh
462,Meg Ryan
463,Renée Humphrey
464,Sebastian Shaw
465,Jeremy Bulloch
466,Ian McDiarmid
467,Kenneth Colley
468,Carrie Fisher
469,David Prowse
470,Anthony Daniels
471,Peter Mayhew
472,Kenny Baker
473,Mark Hamill
474,Frank Oz
475,Hayden Christensen
476,Ewan McGregor
477,Jake Lloyd
478,Terence Stamp
479,Pernilla August
480,Samuel L. Jackson
481,Keira Knightley
482,Jimmy Smits
483,Christopher Lee
484,Buddy Ebsen
485,Audrey Hepburn
486,Patricia Neal
487,Orangey
488,George Peppard
489,Mickey Rooney
490,Gloria Stuart
491,Leonardo DiCaprio
492,Bernard Hill
493,Jonathan Hyde
494,Jason Barry
495,Billy Zane
496,Michael Martin
497,Lewis Abernathy
498,Jonathan Phillips
